Tasks;Project start;Project end;Start;End;Progress
Peça peão ;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-26 08:00:00;2018-08-27 12:00:00;100
Peça Bispo;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-27 13:00:00;2018-08-27 15:00:00;100
Peça Rainha;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-27 13:00:00;2018-08-27 15:00:00;100
Peça torre;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-09-09 13:00:00;2018-09-09 15:00:00;100
Integração 1;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-10-01 08:00:00;2018-10-02 17:00:00;0
Criação tabuleiro;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-26 08:00:00;2018-08-27 11:00:00;100
Movimentação;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-09-09 11:00:00;2018-09-24 17:00:00;50
Sprite peças;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-26 08:00:00;2018-08-26 09:00:00;100
EAP;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-26 08:00:00;2018-08-26 10:00:00;100
Peça Cavalo;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-27 13:00:00;2018-08-27 15:00:00;100
Peça rei;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-27 13:00:00;2018-08-27 15:00:00;100
Criar Jogador;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-09-23 15:00:00;2018-09-24 11:00:00;0
Planning poker;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-26 10:00:00;2018-08-26 12:00:00;100
Criação Menu;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-27 11:00:00;2018-08-27 17:00:00;100
Criação de tela de opções;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-09-23 08:00:00;2018-09-25 10:00:00;0
Criação documentos;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-26 08:00:00;2018-08-28 11:00:00;100
Regras especiais;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-08-27 15:00:00;2018-08-29 12:00:00;0
Heurística;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-10-05 08:00:00;2018-10-06 11:00:00;0
Implementar a poda;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-10-07 11:00:00;2018-10-09 15:00:00;0
Implementar Heurística;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-10-07 11:00:00;2018-10-09 09:00:00;0
Jogar com a ia;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-10-09 09:00:00;2018-10-11 14:00:00;0
Integração 2;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-10-11 14:00:00;2018-10-13 13:00:00;0
Ajuste pós-teste;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-10-11 14:00:00;2018-10-12 14:00:00;0
Integração final;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-10-14 08:00:00;2018-10-17 11:00:00;0
Criar slides;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-09-09 08:00:00;2018-09-10 12:00:00;0
Apresentar;2018-08-26 08:00:00;2018-10-17 11:00:00;2018-09-27 13:00:00;2018-09-27 13:20:00;0
